"","Classification","Year","Period","Period.Desc","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Partner.Code","Partner","Commodity.Code","Commodity","Qty.Unit.Code","Netweight.kg","Trade.Value.USD","Flag"
"1","HS",2010,201008,"August 2010",6,1,1,"Imports",51,"Armenia",643,"Russian Federation",40510,"Butter",0,200,1170,0
"2","HS",2010,201001,"January 2010",6,1,1,"Imports",97,"EU-27",643,"Russian Federation",40510,"Butter",0,NA,71,0
"3","HS",2010,201002,"February 2010",6,1,1,"Imports",97,"EU-27",643,"Russian Federation",40510,"Butter",0,100,506,0
"4","HS",2010,201007,"July 2010",6,1,1,"Imports",97,"EU-27",643,"Russian Federation",40510,"Butter",0,38400,201551,0
"5","HS",2010,201007,"July 2010",6,1,1,"Imports",246,"Finland",643,"Russian Federation",40510,"Butter",0,38400,201551,0
"6","HS",2010,201009,"September 2010",6,1,1,"Imports",268,"Georgia",643,"Russian Federation",40510,"Butter",0,10000,55926,0
"7","HS",2010,201001,"January 2010",6,1,1,"Imports",276,"Germany",643,"Russian Federation",40510,"Butter",0,NA,71,0
"8","HS",2010,201002,"February 2010",6,1,1,"Imports",276,"Germany",643,"Russian Federation",40510,"Butter",0,100,506,0
"9","HS",2010,201004,"April 2010",6,1,1,"Imports",842,"United States of America",643,"Russian Federation",40510,"Butter",0,NA,3304,0
"10","HS",2010,201011,"November 2010",6,1,1,"Imports",842,"United States of America",643,"Russian Federation",40510,"Butter",0,NA,4467,0
"11","HS",2011,201110,"October 2011",6,1,1,"Imports",51,"Armenia",643,"Russian Federation",40510,"Butter",0,4190,23740,0
"12","HS",2011,201111,"November 2011",6,1,1,"Imports",51,"Armenia",643,"Russian Federation",40510,"Butter",0,240,1440,0
"13","HS",2011,201112,"December 2011",6,1,1,"Imports",51,"Armenia",643,"Russian Federation",40510,"Butter",0,3942,23652,0
"14","HS",2011,201103,"March 2011",6,1,1,"Imports",97,"EU-27",643,"Russian Federation",40510,"Butter",0,200,644,0
"15","HS",2011,201107,"July 2011",6,1,1,"Imports",97,"EU-27",643,"Russian Federation",40510,"Butter",0,20000,62762,0
"16","HS",2011,201101,"January 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,4540,19000,0
"17","HS",2011,201102,"February 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,2220,4500,0
"18","HS",2011,201103,"March 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,8140,17300,0
"19","HS",2011,201104,"April 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,29062,152500,0
"20","HS",2011,201106,"June 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,20740,111300,0
"21","HS",2011,201108,"August 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,20296,96600,0
"22","HS",2011,201109,"September 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,740,1500,0
"23","HS",2011,201110,"October 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,40740,221100,0
"24","HS",2011,201111,"November 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,21850,96900,0
"25","HS",2011,201112,"December 2011",6,1,1,"Imports",112,"Belarus",643,"Russian Federation",40510,"Butter",0,1581,3600,0
"26","HS",2011,201107,"July 2011",6,1,1,"Imports",233,"Estonia",643,"Russian Federation",40510,"Butter",0,20000,62762,0
"27","HS",2011,201110,"October 2011",6,1,1,"Imports",268,"Georgia",643,"Russian Federation",40510,"Butter",0,5400,24189,0
"28","HS",2011,201103,"March 2011",6,1,1,"Imports",276,"Germany",643,"Russian Federation",40510,"Butter",0,200,644,0
"29","HS",2011,201101,"January 2011",6,1,1,"Imports",417,"Kyrgyzstan",643,"Russian Federation",40510,"Butter",0,3496,17824,0
"30","HS",2011,201102,"February 2011",6,1,1,"Imports",417,"Kyrgyzstan",643,"Russian Federation",40510,"Butter",0,19600,31647,0
"31","HS",2011,201109,"September 2011",6,1,1,"Imports",417,"Kyrgyzstan",643,"Russian Federation",40510,"Butter",0,19600,35007,0
"32","HS",2011,201111,"November 2011",6,1,1,"Imports",417,"Kyrgyzstan",643,"Russian Federation",40510,"Butter",0,11500,19456,0
"33","HS",2011,201101,"January 2011",6,1,1,"Imports",842,"United States of America",643,"Russian Federation",40510,"Butter",0,NA,3161,0
"34","HS",2011,201103,"March 2011",6,1,1,"Imports",842,"United States of America",643,"Russian Federation",40510,"Butter",0,NA,3139,0
"35","HS",2012,201205,"May 2012",6,1,1,"Imports",51,"Armenia",643,"Russian Federation",40510,"Butter",0,25,151,0
